"outcome","outcome_label","predictor","sample_month","fitted","residual","sqrt_abs_standardized_residual"
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-03",0.200965001243356,-0.00964559680737861,0.397469084553467
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-04",0.188162211423636,-0.0340505592609305,0.735194592520409
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-05",0.167392811532341,0.151312488088722,1.53708276175669
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-06",0.231555146025451,0.00203269277782801,0.198496280708753
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-07",0.159116881276062,0.173990264076898,1.6518667031774
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-08",0.210845301403511,0.0050432554945211,0.292831597267502
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-09",0.157786216759567,-0.0500673378127512,0.886686630270105
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-10",0.139292667045828,0.0107637567370029,0.418580035680386
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-11",0.140153299439754,0.00952144749840089,0.393198179286852
"rep_skew_mean","Republican Skew","q1_stance_republican_10","2022-12",0.152164247639337,-0.0672035560806463,1.03103517703695
