outcome,outcome_label,predictor,predictor_label,sample_month,predictor_value,case_value,n_cases
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-02,5.410088919061863,0.1954961957767667,6233
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-03,6.163854851328894,0.2097863935505757,7551
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-04,5.408680911376589,0.18194345517638078,954
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-05,5.042631333593673,0.17572785903329893,879
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-06,5.189977194931201,0.19132745594577616,1639
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-07,4.795353131489422,0.20039289164160035,1360
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-08,5.293995340976904,0.19955361702967192,1377
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-09,6.2455384413298445,0.18771541683375637,3278
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-10,6.148653650269567,0.17554520074156055,3566
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-11,5.75910398908809,0.18099713310929677,1604
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-12,6.11984321948073,0.2078777526829481,3697
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-01,5.86446518557328,0.1878491795793284,1011
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-02,6.130124558145313,0.2121828813142921,7496
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-03,6.3341715009507515,0.20244418652599183,2218
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-04,5.588053555436853,0.18347324790275135,6724
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-05,5.403774135246251,0.19981538100711732,280
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-06,6.823354445533982,0.1925827759288441,2128
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-07,6.5349630608167315,0.15914636951848576,6196
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-08,6.474803131349269,0.17405567249791606,335
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-09,6.153512440852972,0.20824404834727628,3410
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-10,6.02671736550006,0.22334895463186757,824
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-11,6.306219466032603,0.18555199743914141,9036
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2024-12,6.16353611998906,0.16736322673446782,2197
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-03,4.303174699727004,0.2827377546318428,26481
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-04,5.204340502830389,0.30045612894360213,5161
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-05,5.572073476834651,0.2594979886490569,6082
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-06,4.4275881058987245,0.22853936239808811,407
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-07,5.619299969599727,0.2296633199359936,1539
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-08,5.338697492221824,0.2079374220753612,306
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-09,5.389953584964042,0.34292386739758884,1790
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-10,6.456066475629389,0.2829376793693435,5249
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-11,5.2616024215582,0.28900687433696465,1117
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2022-12,6.410896206747798,0.3451088361964675,3741
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-01,5.406747217334802,0.2972214544755379,1613
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-02,5.410088919061863,0.29921800128576675,6233
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-03,6.163854851328894,0.30835226086238826,7551
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-04,5.408680911376589,0.31364728007584664,954
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-05,5.042631333593673,0.2562260452689993,879
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-06,5.189977194931201,0.2600019550092121,1639
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-07,4.795353131489422,0.29882140201386376,1360
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-08,5.293995340976904,0.3012052183617255,1377
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-09,6.2455384413298445,0.282513434929986,3278
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-10,6.148653650269567,0.2661508425788293,3566
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-11,5.75910398908809,0.3053751273818232,1604
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2023-12,6.11984321948073,0.32634715188732666,3697
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2024-01,5.86446518557328,0.3096178816571801,1011
outgroup_construction_mean,Out-group Construction,party_brand_index_10,Party Brand Index (10-point units),2024-02,6.130124558145313,0.3279878876193738,7496
